,dtype,nunique,unexpected_object_dtype,numeric_coercion_issue_count
Time,float64,124592,False,0
V1,float64,275663,False,0
V2,float64,275663,False,0
V3,float64,275663,False,0
V4,float64,275663,False,0
V5,float64,275663,False,0
V6,float64,275663,False,0
V7,float64,275663,False,0
V8,float64,275663,False,0
V9,float64,275663,False,0
V10,float64,275663,False,0
V11,float64,275663,False,0
V12,float64,275663,False,0
V13,float64,275663,False,0
V14,float64,275663,False,0
V15,float64,275663,False,0
V16,float64,275663,False,0
V17,float64,275663,False,0
V18,float64,275663,False,0
V19,float64,275663,False,0
V20,float64,275663,False,0
V21,float64,275663,False,0
V22,float64,275663,False,0
V23,float64,275663,False,0
V24,float64,275663,False,0
V25,float64,275663,False,0
V26,float64,275663,False,0
V27,float64,275663,False,0
V28,float64,275663,False,0
Amount,float64,32767,False,0
Class,int64,2,False,0
