,missing_count,missing_percent,status
Time,0,0.0,COMPLETE
V1,0,0.0,COMPLETE
V2,0,0.0,COMPLETE
V3,0,0.0,COMPLETE
V4,0,0.0,COMPLETE
V5,0,0.0,COMPLETE
V6,0,0.0,COMPLETE
V7,0,0.0,COMPLETE
V8,0,0.0,COMPLETE
V9,0,0.0,COMPLETE
V10,0,0.0,COMPLETE
V11,0,0.0,COMPLETE
V12,0,0.0,COMPLETE
V13,0,0.0,COMPLETE
V14,0,0.0,COMPLETE
V15,0,0.0,COMPLETE
V16,0,0.0,COMPLETE
V17,0,0.0,COMPLETE
V18,0,0.0,COMPLETE
V19,0,0.0,COMPLETE
V20,0,0.0,COMPLETE
V21,0,0.0,COMPLETE
V22,0,0.0,COMPLETE
V23,0,0.0,COMPLETE
V24,0,0.0,COMPLETE
V25,0,0.0,COMPLETE
V26,0,0.0,COMPLETE
V27,0,0.0,COMPLETE
V28,0,0.0,COMPLETE
Amount,0,0.0,COMPLETE
Class,0,0.0,COMPLETE
