,nunique,unique_ratio_percent
Class,2,0.0007
Amount,32767,11.505
Time,124592,43.7461
V1,275663,96.7894
V4,275663,96.7894
V5,275663,96.7894
V2,275663,96.7894
V3,275663,96.7894
V8,275663,96.7894
V9,275663,96.7894
V10,275663,96.7894
V11,275663,96.7894
V12,275663,96.7894
V13,275663,96.7894
V6,275663,96.7894
V7,275663,96.7894
V15,275663,96.7894
V14,275663,96.7894
V16,275663,96.7894
V17,275663,96.7894
V20,275663,96.7894
V21,275663,96.7894
V18,275663,96.7894
V19,275663,96.7894
V23,275663,96.7894
V22,275663,96.7894
V24,275663,96.7894
V25,275663,96.7894
V27,275663,96.7894
V26,275663,96.7894
V28,275663,96.7894
