,count,mean,std,min,25%,50%,75%,max,skewness
V1,283726.0,0.005917149836165761,1.948026141625471,-56.407509631329,-0.9159513307412135,0.020384054673383903,1.31606775368132,2.45492999121121,-3.273271248440309
V2,283726.0,-0.0041347556281216905,1.6467029642463507,-72.7157275629303,-0.6003205657226367,0.0639491720686272,0.8002828928387605,22.0577289904909,-4.6951619005404694
V3,283726.0,0.0016131193558786181,1.5086819162059164,-48.3255893623954,-0.8896820047070662,0.1799627277579035,1.0269599742860676,9.38255843282114,-2.151983957099713
V4,283726.0,-0.0029663077203488635,1.4141840144475144,-5.68317119816995,-0.8501344664392158,-0.0222480167048314,0.739646964483283,16.8753440335975,0.6715041706728241
V5,283726.0,0.0018275601130338598,1.3770082792800886,-113.743306711146,-0.6898297299310185,-0.05346760692155525,0.6122179627567953,34.8016658766686,-2.414079246966253
V6,283726.0,-0.001139488189738493,1.331930591715164,-26.1605059358433,-0.7690307688926414,-0.2751676384634605,0.39679214047379624,73.3016255459646,1.829880383771521
V7,283726.0,0.0018006917653071734,1.2276638954422558,-43.5572415712451,-0.5525094418610073,0.040859470599398345,0.5704738684867068,120.589493945238,2.890271192715498
V8,283726.0,-0.0008544525734540372,1.1790544275788069,-73.2167184552674,-0.20882847161887025,0.021897947014776098,0.3257036839267247,20.0072083651213,-8.310970330052545
V9,283726.0,-0.0015961996217021513,1.0954924810736155,-13.4340663182301,-0.6442207694753568,-0.0525956513955632,0.5959768591827228,15.5949946071278,0.5376630534496958
V10,283726.0,-0.0014407104850314848,1.0764073501381102,-24.5882624372475,-0.5355781093043295,-0.09323652620247,0.4536187284492523,23.7451361206545,1.2529670787468168
V11,283726.0,0.00020175763995932604,1.0187201526753205,-4.79747346479757,-0.761649296487023,-0.03230594037210535,0.7395791921050707,12.0189131816199,0.34407419325686267
V12,283726.0,-0.000714787657406006,0.9946744452140553,-18.6837146333443,-0.4061977332430922,0.13907201031481248,0.6169764893919558,7.8483920756446,-2.1990082816149954
V13,283726.0,0.0006033757913236802,0.9954296367703039,-5.79188120632084,-0.6478620791041647,-0.012926990224900549,0.6631783137505225,7.12688295859376,0.06429340464018111
V14,283726.0,0.0002523173005216223,0.9522150900331083,-19.2143254902614,-0.425732465586286,0.05020867775725035,0.492335540901136,10.5267660517847,-1.9188037137586451
V15,283726.0,0.0010428380498146601,0.914893633452561,-4.49894467676621,-0.5814518450583814,0.04929885180469505,0.6501041163940502,8.87774159774277,-0.3096590822936595
V16,283726.0,0.0011620128156736782,0.8736963275712339,-14.1298545174931,-0.46685961570977524,0.0671191378908382,0.5235115807729338,17.3151115176278,-1.0511614715174662
V17,283726.0,0.00017016094454838166,0.8425073207466596,-25.1627993693248,-0.483927580381912,-0.0658669329326605,0.3989717123472575,9.25352625047285,-3.690497194148406
V18,283726.0,0.0015151660104586549,0.8373775297813794,-9.49874592104677,-0.4980142985297348,-0.00214175617719485,0.5019556651381313,5.04106918541184,-0.24866145737243997
V19,283726.0,-0.00026426358751910735,0.8133785531048033,-7.21352743017759,-0.4562889162254948,0.0033670829391581,0.4585079337186285,5.59197142733558,0.1083118109324772
V20,283726.0,0.00018717524731653025,0.7699842414107975,-54.497720494566,-0.2114692754611365,-0.062353459380288,0.133207117892697,39.4209042482199,-2.0431210560273323
V21,283726.0,-0.00037059312335919304,0.7239093668620532,-34.8303821448146,-0.2283049085298765,-0.02944058938024295,0.18619360292644677,27.2028391573154,2.820033113572543
V22,283726.0,-1.5027563164942792e-05,0.724550465423999,-10.933143697655,-0.5426997064829056,0.0066748951611519,0.5282451977216824,10.5030900899454,-0.18232972797521269
V23,283726.0,0.0001981707238115194,0.6237023785807312,-44.8077352037913,-0.16170345062652475,-0.011158576827809599,0.147748443326184,22.5284116897749,-5.867220791006341
V24,283726.0,0.0002142068242223844,0.605626698164322,-2.83662691870341,-0.35445344059957995,0.04101573318896705,0.43973848484478795,4.58454913689817,-0.5521292366718961
V25,283726.0,-0.00023238698960743328,0.5212203166871484,-10.2953970749851,-0.3174853710604448,0.01627836170044545,0.3506673662397138,7.51958867870916,-0.41574386205469593
V26,283726.0,0.00014944108789967289,0.4820529408275818,-2.60455055280817,-0.3267634006783515,-0.0521716279959135,0.2402613022919345,3.5173456116238,0.5802923172348093
V27,283726.0,0.0017630316173302572,0.39574388093203416,-22.5656793207827,-0.07064082235554203,0.001478594836733,0.09120816464559875,31.6121981061363,-0.7538039138186547
V28,283726.0,0.0005473121010898966,0.32802660429357916,-15.4300839055349,-0.05281803565785328,0.0112876044697928,0.0782760938807502,33.8478078188831,11.555115084196773
