,skewness,kurtosis
Amount,16.978803370060476,844.471319490649
V28,11.555115084196773,959.3798121821578
V7,2.890271192715498,414.14218751628977
V21,2.820033113572543,184.81812582581566
V6,1.829880383771521,42.83888623426113
V10,1.2529670787468168,29.84389915172341
V4,0.6715041706728241,2.6187796082631523
V26,0.5802923172348093,0.9235571526720108
V9,0.5376630534496958,3.5166609820039096
V11,0.34407419325686267,1.5468488727936758
V19,0.1083118109324772,1.7269135253327286
V13,0.06429340464018111,0.19583950839878073
Time,-0.03558064623598194,-1.293432497044405
V22,-0.18232972797521269,2.4675658565378096
V18,-0.24866145737243997,2.509124600661837
V15,-0.3096590822936595,0.2864070583460636
V25,-0.41574386205469593,4.289499402605406
V24,-0.5521292366718961,0.6218998139542653
V27,-0.7538039138186547,259.17503428636195
V16,-1.0511614715174662,9.850013287354576
V14,-1.9188037137586451,23.041488348278563
V20,-2.0431210560273323,273.2228990617075
V3,-2.151983957099713,25.186530332025544
V12,-2.1990082816149954,18.941584275441947
V5,-2.414079246966253,209.2774667266409
V1,-3.273271248440309,32.727332486912616
V17,-3.690497194148406,93.32310102717571
V2,-4.6951619005404694,96.89817284108402
V23,-5.867220791006341,442.6860756619448
V8,-8.310970330052545,215.01693253080745
