,correlation_with_class
V11,0.14906710367009615
V4,0.12932583072677128
V2,0.08462444869117351
V19,0.033631154442230346
V8,0.03306802333281736
V21,0.026357438897066807
V27,0.02189211330695945
V20,0.02148634032100875
V28,0.009682426330025314
Amount,0.005777019670480672
V22,0.0048872321638307415
V26,0.004264576791248341
V25,0.003202493530110167
V15,-0.0032995578711372373
V13,-0.003896955111430142
V23,-0.006333210643022919
V24,-0.007210125120706586
Time,-0.012359339838080298
V6,-0.043915409238085734
V5,-0.08781244297489552
V9,-0.09402128731255407
V1,-0.09448583378656274
V18,-0.10533971521707305
V7,-0.17234653244006812
V3,-0.18232224748340453
V16,-0.18718605284536083
V10,-0.20697123823505903
V12,-0.25071117720572017
V14,-0.29337538479004244
V17,-0.3134982729556793
