,V17,V14,V12,V10,V16,V3,V7,V11,V4,V18,Time,Amount
V17,1.0,-0.1695755163765642,-0.17144468226956622,-0.14232014871643087,-0.14670874735767636,-0.12278433895761948,-0.13943085211926146,0.0906231750808927,0.06936154709665507,-0.09684972252746099,-0.0923631207482708,0.010195940919466663
V14,-0.1695755163765642,1.0,-0.12467868159296396,-0.08899023893458108,-0.09396101463639224,-0.07967694025497275,-0.07649949415917238,0.073937043515563,0.054576799863573514,-0.05200624017516393,-0.11237512969663804,0.03660697595245691
V12,-0.17144468226956622,-0.12467868159296396,1.0,-0.09522798879279512,-0.09141994357768538,-0.08114648720375191,-0.0850866297511073,0.06518251554586266,0.05098974275910362,-0.05437714528021722,0.1263317557116934,-0.00936316648393968
V10,-0.14232014871643087,-0.08899023893458108,-0.09522798879279512,1.0,-0.07375338057524888,-0.0797748694911402,-0.09170587009056985,0.048260531573146456,0.04226166034871745,-0.04663467083135723,0.027703315260062148,-0.10595558906288599
V16,-0.14670874735767636,-0.09396101463639224,-0.09141994357768538,-0.07375338057524888,1.0,-0.06340883688315894,-0.07180689807965446,0.049427924128435115,0.03832054877045362,-0.051582592237424944,0.007061587669004196,-0.0039174750276428265
V3,-0.12278433895761948,-0.07967694025497275,-0.08114648720375191,-0.0797748694911402,-0.06340883688315894,1.0,-0.08717963394885714,0.04387556802229073,0.03936369109182939,-0.04151094845740649,-0.44182441050474147,-0.21982735639314122
V7,-0.13943085211926146,-0.07649949415917238,-0.0850866297511073,-0.09170587009056985,-0.07180689807965446,-0.08717963394885714,1.0,0.04396854184862774,0.04228559956065191,-0.049143081905885934,0.08439134960234167,0.41726591732225826
V11,0.0906231750808927,0.073937043515563,0.06518251554586266,0.048260531573146456,0.049427924128435115,0.04387556802229073,0.04396854184862774,1.0,-0.027718268749096758,0.02794736541820125,-0.24951928057439635,-0.00023874196233851294
V4,0.06936154709665507,0.054576799863573514,0.05098974275910362,0.04226166034871745,0.03832054877045362,0.03936369109182939,0.04228559956065191,-0.027718268749096758,1.0,0.023269805734449856,-0.10485968843110435,0.10052218227737338
V18,-0.09684972252746099,-0.05200624017516393,-0.05437714528021722,-0.04663467083135723,-0.051582592237424944,-0.04151094845740649,-0.049143081905885934,0.02794736541820125,0.023269805734449856,1.0,0.0885814982319852,0.036862447314250646
Time,-0.0923631207482708,-0.11237512969663804,0.1263317557116934,0.027703315260062148,0.007061587669004196,-0.44182441050474147,0.08439134960234167,-0.24951928057439635,-0.10485968843110435,0.0885814982319852,1.0,-0.01059557330371954
Amount,0.010195940919466663,0.03660697595245691,-0.00936316648393968,-0.10595558906288599,-0.0039174750276428265,-0.21982735639314122,0.41726591732225826,-0.00023874196233851294,0.10052218227737338,0.036862447314250646,-0.01059557330371954,1.0
