,V17,V14,V12,V10,V16,V3,V7,V11,V4,V18,Time,Amount
V17,0.0,0.7514309513664684,1.0090444392578244,0.9532430862825049,1.1089888136803712,0.756171867242045,0.8655258402385939,-0.7832249862301833,-0.6652622627265928,1.0687894734787564,0.3917802638884347,0.024694178213863043
V14,0.7514309513664684,0.0,0.9296931648750241,0.697974124368888,0.7440096805125027,0.5400245378594771,0.4239689833154053,-0.9338112131978376,-0.7087291159256597,0.5434828007623244,0.2988670647697001,0.1567491960138698
V12,1.0090444392578244,0.9296931648750241,0.0,0.9356209576587916,0.9707409756353418,0.7301146063565899,0.7408010467807278,-0.9557906634859119,-0.8259010361509896,0.8434823457428264,0.19778468864394907,0.14468514688418668
V10,0.9532430862825049,0.697974124368888,0.9356209576587916,0.0,0.8910099452827234,0.8816031311082785,0.9592857475848906,-0.7786773179005021,-0.7634690912550064,0.8363448742786886,0.22542660397368602,0.2080965061066995
V16,1.1089888136803712,0.7440096805125027,0.9707409756353418,0.8910099452827234,0.0,0.6788499324990799,0.7652509228913623,-0.7952935356366877,-0.6472129597208621,0.9968181574468393,0.2817790921797689,0.053198019951322756
V3,0.756171867242045,0.5400245378594771,0.7301146063565899,0.8816031311082785,0.6788499324990799,0.0,0.9683827792334478,-0.6500722394865005,-0.7594666888665993,0.6756762442843115,0.6717665319383045,0.3025756323963346
V7,0.8655258402385939,0.4239689833154053,0.7408010467807278,0.9592857475848906,0.7652509228913623,0.9683827792334478,0.0,-0.5884154578327738,-0.7363377156010091,0.7920088157976649,0.16854061495459693,-0.22112757540235015
V11,-0.7832249862301833,-0.9338112131978376,-0.9557906634859119,-0.7786773179005021,-0.7952935356366877,-0.6500722394865005,-0.5884154578327738,0.0,0.7524773495412747,-0.6391502087221945,-0.11823401394041214,-0.14117837788304574
V4,-0.6652622627265928,-0.7087291159256597,-0.8259010361509896,-0.7634690912550064,-0.6472129597208621,-0.7594666888665993,-0.7363377156010091,0.7524773495412747,0.0,-0.5944426498869502,-0.10585714095601306,-0.23487106776592448
V18,1.0687894734787564,0.5434828007623244,0.8434823457428264,0.8363448742786886,0.9968181574468393,0.6756762442843115,0.7920088157976649,-0.6391502087221945,-0.5944426498869502,0.0,0.23180691426261846,-0.014861378810333798
Time,0.3917802638884347,0.2988670647697001,0.19778468864394907,0.22542660397368602,0.2817790921797689,0.6717665319383045,0.16854061495459693,-0.11823401394041214,-0.10585714095601306,0.23180691426261846,0.0,0.06050943860414216
Amount,0.024694178213863043,0.1567491960138698,0.14468514688418668,0.2080965061066995,0.053198019951322756,0.3025756323963346,-0.22112757540235015,-0.14117837788304574,-0.23487106776592448,-0.014861378810333798,0.06050943860414216,0.0
