,V17,V14,V12,V10,V16,V3,V7,V11,V4,V18,Time,Amount,Class
V17,1.0,-0.013550833900087012,-0.012856437264530448,-0.007877238876526393,-0.00906294025116446,-0.00815906547744444,-0.008793767370252418,0.00735330443604786,0.003655499037334594,-0.005276652843220592,-0.07381921148674468,0.0077301947344692815,-0.3134982729556793
V14,-0.013550833900087012,1.0,-0.010007267733039858,0.00016773905551491472,-0.009073780163101713,-0.003027373434784692,-0.0038155077116200356,0.007713499202580035,0.002800657162483817,-0.0044828952675463295,-0.1003160421433674,0.03412161435159622,-0.29337538479004244
V12,-0.012856437264530448,-0.010007267733039858,1.0,-0.006941843021571784,-0.007372014340777108,-0.005900173370574256,-0.006153104318386365,0.005568598011092169,0.0033657176049544193,-0.0034636324576663683,0.1255002298234235,-0.009254234854543365,-0.25071117720572017
V10,-0.007877238876526393,0.00016773905551491472,-0.006941843021571784,1.0,-0.0037153648767873325,-0.009632285620257908,-0.01361707169961494,0.0008441105944609582,0.002752955770430759,-0.0024500111459483066,0.031068099587314782,-0.1022549197820604,-0.20697123823505903
V16,-0.00906294025116446,-0.009073780163101713,-0.007372014340777108,-0.0037153648767873325,1.0,-0.004430372202953216,-0.005944410923274926,0.004750958546111543,0.003346395693971053,-0.005427043024313857,0.011286429103372722,-0.0044881721158604995,-0.18718605284536083
V3,-0.00815906547744444,-0.003027373434784692,-0.005900173370574256,-0.009632285620257908,-0.004430372202953216,1.0,-0.011721387696630715,0.0023390024296688133,0.002828781887235172,-0.003494743840183453,-0.42205381041134654,-0.21241000931175436,-0.18232224748340453
V7,-0.008793767370252418,-0.0038155077116200356,-0.006153104318386365,-0.01361707169961494,-0.005944410923274926,-0.011721387696630715,1.0,0.002454389524744143,0.004656983704556185,-0.00427913627524687,0.08533518087392702,0.4004079784579554,-0.17234653244006812
V11,0.00735330443604786,0.007713499202580035,0.005568598011092169,0.0008441105944609582,0.004750958546111543,0.0023390024296688133,0.002454389524744143,1.0,-0.0012228391532746387,0.0020952108165381207,-0.24853595728863123,-1.4745309458457545e-05,0.14906710367009615
V4,0.003655499037334594,0.002800657162483817,0.0033657176049544193,0.002752955770430759,0.003346395693971053,0.002828781887235172,0.004656983704556185,-0.0012228391532746387,1.0,0.0023245465265008375,-0.10584489282621046,0.09951433829114348,0.12932583072677128
V18,-0.005276652843220592,-0.0044828952675463295,-0.0034636324576663683,-0.0024500111459483066,-0.005427043024313857,-0.003494743840183453,-0.00427913627524687,0.0020952108165381207,0.0023245465265008375,1.0,0.09030542537216427,0.0357752370256949,-0.10533971521707305
Time,-0.07381921148674468,-0.1003160421433674,0.1255002298234235,0.031068099587314782,0.011286429103372722,-0.42205381041134654,0.08533518087392702,-0.24853595728863123,-0.10584489282621046,0.09030542537216427,1.0,-0.010558833743212875,-0.012359339838080298
Amount,0.0077301947344692815,0.03412161435159622,-0.009254234854543365,-0.1022549197820604,-0.0044881721158604995,-0.21241000931175436,0.4004079784579554,-1.4745309458457545e-05,0.09951433829114348,0.0357752370256949,-0.010558833743212875,1.0,0.005777019670480672
Class,-0.3134982729556793,-0.29337538479004244,-0.25071117720572017,-0.20697123823505903,-0.18718605284536083,-0.18232224748340453,-0.17234653244006812,0.14906710367009615,0.12932583072677128,-0.10533971521707305,-0.012359339838080298,0.005777019670480672,1.0
