feature,feature_type,correlation_with_class,abs_correlation_with_class
V17,PCA,-0.3134982729556793,0.3134982729556793
V14,PCA,-0.29337538479004244,0.29337538479004244
V12,PCA,-0.25071117720572017,0.25071117720572017
V10,PCA,-0.20697123823505903,0.20697123823505903
V16,PCA,-0.18718605284536083,0.18718605284536083
V3,PCA,-0.18232224748340453,0.18232224748340453
V7,PCA,-0.17234653244006812,0.17234653244006812
V11,PCA,0.14906710367009615,0.14906710367009615
V4,PCA,0.12932583072677128,0.12932583072677128
V18,PCA,-0.10533971521707305,0.10533971521707305
Time,Raw,-0.012359339838080298,0.012359339838080298
Amount,Raw,0.005777019670480672,0.005777019670480672
