feature,feature_category,total_outliers,legit_outliers,fraud_outliers,fraud_rate_among_outliers,base_fraud_rate,lift_vs_base_fraud_rate
V11,PCA,735,459,276,0.37551020408163266,0.001667101358352777,225.24737455235794
V3,PCA,3306,3013,293,0.08862673926194797,0.001667101358352777,53.162178063077064
V17,PCA,7353,6974,379,0.05154358765129879,0.001667101358352777,30.918088689117123
V16,PCA,8180,7847,333,0.04070904645476773,0.001667101358352777,24.41905901569858
V10,PCA,9345,8965,380,0.04066345639379347,0.001667101358352777,24.391712111597137
V7,PCA,8839,8556,283,0.03201719651544292,0.001667101358352777,19.205308876407102
V18,PCA,7468,7249,219,0.029325120514193895,0.001667101358352777,17.59048444611031
V14,PCA,14060,13649,411,0.029231863442389757,0.001667101358352777,17.534544792929125
V4,PCA,11094,10794,300,0.02704164413196322,0.001667101358352777,16.22075586254841
V12,PCA,15282,14892,390,0.025520219866509618,0.001667101358352777,15.308139327368515
amount_V17_interaction,RATIO,20352,20059,293,0.014396619496855346,0.001667101358352777,8.635719372864228
V17_V12_interaction,INTERACTION,35115,34701,414,0.01178983340452798,0.001667101358352777,7.072055544467454
V17_V16_interaction,INTERACTION,37377,36966,411,0.01099606710008829,0.001667101358352777,6.59591994511554
V17_V14_interaction,INTERACTION,40742,40307,435,0.01067694271267979,0.001667101358352777,6.40449523910737
V14_V12_interaction,INTERACTION,45182,44755,427,0.009450666194502235,0.001667101358352777,5.668921176958438
V17_V10_interaction,INTERACTION,45598,45178,420,0.0092109303039607,0.001667101358352777,5.525117148882777
Amount,RAW,31685,31598,87,0.0027457787596654568,0.001667101358352777,1.6470376836465992
amount_to_mean_ratio,RATIO,31685,31598,87,0.0027457787596654568,0.001667101358352777,1.6470376836465992
amount_to_median_ratio,RATIO,31685,31598,87,0.0027457787596654568,0.001667101358352777,1.6470376836465992
Time,RAW,0,0,0,0.0,0.001667101358352777,0.0
log_amount,LOG,236,236,0,0.0,0.001667101358352777,0.0
time_day_fraction,NORMALIZED,0,0,0,0.0,0.001667101358352777,0.0
