feature,feature_category,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_rate
V17_V10_interaction,INTERACTION,-0.21136313466321482,0.1322389431987761,0.34360207786199093,-0.7267662514562012,0.6476420599917625,45598,0.16071139056695544
V14_V12_interaction,INTERACTION,-0.19600371336011163,0.19478763501316057,0.39079134837327223,-0.78219073592002,0.7809746575730689,45182,0.15924518725812933
V17_V14_interaction,INTERACTION,-0.24158320066008093,0.08684105413451434,0.32842425479459525,-0.7342195828519738,0.5794774363264072,40742,0.14359628655815823
V17_V16_interaction,INTERACTION,-0.2884454427241602,0.0889100652651115,0.37735550798927164,-0.8544787047080676,0.6549433272490189,37377,0.13173625258171617
V17_V12_interaction,INTERACTION,-0.2998922174360633,0.09612680228046327,0.3960190197165266,-0.8939207470108532,0.6901553318552531,35115,0.12376377208997413
Amount,RAW,5.6,77.51,71.91000000000001,-102.26500000000001,185.375,31685,0.11167464384652799
amount_to_mean_ratio,RATIO,0.063296370554621,0.8760895860158351,0.8127932154612141,-1.1558934526372,2.095279409207656,31685,0.11167464384652799
amount_to_median_ratio,RATIO,0.2545454545454545,3.5231818181818184,3.268636363636364,-4.648409090909091,8.426136363636363,31685,0.11167464384652799
amount_V17_interaction,RATIO,-1.1885464470787466,1.0639722818143655,2.2525187288931123,-4.567324540418415,4.442750375154034,20352,0.07173117726257022
V12,PCA,-0.4061977332430922,0.6169764893919558,1.023174222635048,-1.940959067195664,2.1517378233445275,15282,0.05386182443625188
V14,PCA,-0.425732465586286,0.492335540901136,0.918068006487422,-1.802834475317419,1.8694375506322691,14060,0.04955485221657514
V4,PCA,-0.8501344664392158,0.739646964483283,1.589781430922499,-3.2348066128229642,3.1243191108670314,11094,0.03910110458681968
V10,PCA,-0.5355781093043295,0.4536187284492523,0.9891968377535818,-2.019373365934702,1.937413985079625,9345,0.03293670654081755
V7,PCA,-0.5525094418610073,0.5704738684867068,1.122983310347714,-2.236984407382578,2.2549488340082777,8839,0.03115329578537039
V16,PCA,-0.46685961570977524,0.5235115807729338,0.9903711964827091,-1.952416410433839,2.0090683754969976,8180,0.028830632370667474
V18,PCA,-0.4980142985297348,0.5019556651381313,0.9999699636678661,-1.997969244031534,2.0019106106399303,7468,0.026321169015176615
V17,PCA,-0.483927580381912,0.3989717123472575,0.8828992927291694,-1.8082765194756663,1.7233206514410115,7353,0.025915848388938623
V3,PCA,-0.8896820047070662,1.0269599742860676,1.9166419789931337,-3.7646449731967664,3.901922942775768,3306,0.011652086872546048
V11,PCA,-0.761649296487023,0.7395791921050707,1.5012284885920937,-3.013492029375163,2.991421924993211,735,0.002590527480738459
log_amount,LOG,1.88706964903238,4.363226005210164,2.4761563561777837,-1.8271648852342957,8.077460539476839,236,0.0008317884155840494
time_day_fraction,NORMALIZED,0.4415625,0.8053819444444444,0.3638194444444444,-0.10416666666666657,1.351111111111111,0,0.0
Time,RAW,54204.75,139298.0,85093.25,-73435.125,266937.875,0,0.0
