feature,strongest_partner,max_abs_feature_correlation,redundancy_flag
V17,amount_V17_interaction,0.8537768448110657,True
V14,V14_V12_interaction,0.3860306617253575,False
V12,time_day_fraction,0.35495327057105885,False
V10,V17_V10_interaction,0.2817450598535756,False
V16,V17_V14_interaction,0.27684302752195583,False
V3,Time,0.42205381041134654,False
V7,Amount,0.4004079784579554,False
V11,Time,0.24853595728863123,False
V4,V17_V12_interaction,0.12306453068664772,False
V18,V17_V14_interaction,0.205659139504377,False
Time,V3,0.42205381041134654,False
Amount,amount_to_mean_ratio,1.0000000000000309,True
log_amount,amount_to_mean_ratio,0.5518295515402777,False
time_day_fraction,Time,0.4161267989399167,False
amount_to_mean_ratio,Amount,1.0000000000000309,True
amount_to_median_ratio,amount_to_mean_ratio,1.0000000000000244,True
amount_V17_interaction,V17,0.8537768448110657,True
V17_V14_interaction,V17_V12_interaction,0.9282927560324069,True
V17_V12_interaction,V17_V16_interaction,0.9447388028184504,True
V14_V12_interaction,V17_V12_interaction,0.8722733131401713,True
V17_V10_interaction,V17_V12_interaction,0.9139192589544639,True
V17_V16_interaction,V17_V12_interaction,0.9447388028184504,True
