feature,logistic_abs_coef,random_forest_importance
V14,1.0924702353489755,0.17306037277406755
V14_V12_interaction,0.6406940324283492,0.12009594224344307
V17_V16_interaction,0.026140202277490917,0.11486114901796997
V10,0.39230485374647184,0.11405577711172725
V12,0.931056134048301,0.07982169723452529
V17_V12_interaction,0.2263740723634709,0.06984989082855834
V4,1.1683056306157267,0.06613644558886629
V17_V14_interaction,0.09501803522892746,0.049392602233152505
V17_V10_interaction,0.003882353064701462,0.032460908855521664
V11,0.3470651454864715,0.03136450517732919
V17,0.4709883817273243,0.025440855990999777
V16,0.3013532241176616,0.018609590853170755
V3,0.4197950045414193,0.01813260486000584
V7,0.08411228833333988,0.016106533416513105
amount_V17_interaction,0.2545291318706068,0.01296864377540468
V18,0.02967832964928763,0.011488530937131723
log_amount,0.07737733966103337,0.00871292837455991
amount_to_median_ratio,0.01249436314963166,0.00847317285867489
Amount,0.01249436314962968,0.007565738180888388
amount_to_mean_ratio,0.012494363149629838,0.007533064008111423
Time,0.26094979191172785,0.007036346241503473
time_day_fraction,0.5072792050552739,0.006832699437874865
