feature,feature_category,max_abs_feature_correlation,redundancy_flag,logistic_abs_coef,random_forest_importance,selection_decision,logistic_regression_guidance,tree_model_guidance,default_selection_rule
V17_V12_interaction,INTERACTION,0.9447388028184504,True,0.2263740723634709,0.06984989082855834,DROP_REDUNDANCY,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V17_V14_interaction,INTERACTION,0.9282927560324069,True,0.09501803522892746,0.049392602233152505,DROP_REDUNDANCY,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
V17_V10_interaction,INTERACTION,0.9139192589544639,True,0.003882353064701462,0.032460908855521664,DROP_REDUNDANCY,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
amount_V17_interaction,RATIO,0.8537768448110657,True,0.2545291318706068,0.01296864377540468,DROP_REDUNDANCY,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
Amount,RAW,1.0,True,0.01249436314962968,0.007565738180888388,DROP_REDUNDANCY,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
amount_to_mean_ratio,RATIO,1.0,True,0.012494363149629838,0.007533064008111423,DROP_REDUNDANCY,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
log_amount,LOG,0.5518295515402778,False,0.07737733966103337,0.00871292837455991,DROP_WEAK,Exclude from logistic baseline because standalone signal is weak.,Usually skip in tree baseline as well because importance and fraud relevance are weak.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
amount_to_median_ratio,RATIO,1.0,True,0.01249436314963166,0.00847317285867489,DROP_WEAK,Exclude from logistic baseline because correlated alternatives were prioritized.,"Optional for tree sensitivity testing, but omitted from the default shared feature set to keep interpretation cleaner.","Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
Time,RAW,0.42205381041134654,False,0.26094979191172785,0.007036346241503473,DROP_WEAK,Exclude from logistic baseline because standalone signal is weak.,Usually skip in tree baseline as well because importance and fraud relevance are weak.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
time_day_fraction,NORMALIZED,0.4161267989399167,False,0.5072792050552739,0.006832699437874865,DROP_WEAK,Exclude from logistic baseline because standalone signal is weak.,Usually skip in tree baseline as well because importance and fraud relevance are weak.,"Shared default feature set optimized for both baseline model families, with stricter redundancy control aligned to Logistic Regression."
