feature,feature_category,selection_decision,selection_reason
V14_V12_interaction,INTERACTION,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V14,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V17_V16_interaction,INTERACTION,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V12,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V17,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V10,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V4,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V16,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V3,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V11,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V7,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
V18,PCA,KEEP,Shows strong fraud relevance and remains competitive after redundancy review.
