model_name,threshold,precision,recall,f1,predicted_fraud_count,true_positives,false_positives,false_negatives,true_negatives
Logistic Regression,0.01,0.001790885535741503,0.9894736842105263,0.0035753000019017552,52488,94,52394,1,4257
Logistic Regression,0.02,0.002169798254928212,0.9894736842105263,0.004330101112467467,43322,94,43228,1,13423
Logistic Regression,0.03,0.0026838739150296938,0.9894736842105263,0.005353227597596742,35024,94,34930,1,21721
Logistic Regression,0.04,0.003187988482106129,0.9789473684210527,0.006355280691563878,29172,93,29079,2,27572
Logistic Regression,0.05,0.003763858773472978,0.968421052631579,0.007498573640883527,24443,92,24351,3,32300
Logistic Regression,0.075,0.005490483162518302,0.9473684210526315,0.010917692727603566,16392,90,16302,5,40349
Logistic Regression,0.1,0.0073004811680769865,0.9263157894736842,0.014486789036134661,12054,88,11966,7,44685
Logistic Regression,0.15,0.011040609137055837,0.9157894736842105,0.02181818181818182,7880,87,7793,8,48858
Logistic Regression,0.2,0.015305214450969924,0.9052631578947369,0.030101505075253762,5619,86,5533,9,51118
Logistic Regression,0.25,0.02013740819710969,0.8947368421052632,0.03938832252085264,4221,85,4136,10,52515
Logistic Regression,0.3,0.02654867256637168,0.8842105263157894,0.05154955507824486,3164,84,3080,11,53571
Logistic Regression,0.35,0.03422680412371134,0.8736842105263158,0.06587301587301587,2425,83,2342,12,54309
Logistic Regression,0.4,0.041750503018108655,0.8736842105263158,0.07969275084013443,1988,83,1905,12,54746
Logistic Regression,0.45,0.049760191846522785,0.8736842105263158,0.09415768576290415,1668,83,1585,12,55066
Logistic Regression,0.5,0.05698401667824878,0.8631578947368421,0.10691003911342895,1439,82,1357,13,55294
Logistic Regression,0.6,0.07945736434108527,0.8631578947368421,0.14551907719609583,1032,82,950,13,55701
Logistic Regression,0.7,0.10828877005347594,0.8526315789473684,0.19217081850533807,748,81,667,14,55984
Logistic Regression,0.8,0.1387900355871886,0.8210526315789474,0.2374429223744292,562,78,484,17,56167
Logistic Regression,0.9,0.26480836236933797,0.8,0.39790575916230364,287,76,211,19,56440
Random Forest,0.01,0.08148893360160966,0.8526315789473684,0.1487603305785124,994,81,913,14,55738
Random Forest,0.02,0.2608695652173913,0.8210526315789474,0.39593908629441626,299,78,221,17,56430
Random Forest,0.03,0.46107784431137727,0.8105263157894737,0.5877862595419847,167,77,90,18,56561
Random Forest,0.04,0.5923076923076923,0.8105263157894737,0.6844444444444444,130,77,53,18,56598
Random Forest,0.05,0.6814159292035398,0.8105263157894737,0.7403846153846154,113,77,36,18,56615
Random Forest,0.075,0.8351648351648352,0.8,0.8172043010752689,91,76,15,19,56636
Random Forest,0.1,0.8823529411764706,0.7894736842105263,0.8333333333333334,85,75,10,20,56641
Random Forest,0.15,0.8928571428571429,0.7894736842105263,0.8379888268156425,84,75,9,20,56642
Random Forest,0.2,0.9012345679012346,0.7684210526315789,0.8295454545454546,81,73,8,22,56643
Random Forest,0.25,0.935064935064935,0.7578947368421053,0.8372093023255814,77,72,5,23,56646
Random Forest,0.3,0.9466666666666667,0.7473684210526316,0.8352941176470589,75,71,4,24,56647
Random Forest,0.35,0.9459459459459459,0.7368421052631579,0.8284023668639053,74,70,4,25,56647
Random Forest,0.4,0.9459459459459459,0.7368421052631579,0.8284023668639053,74,70,4,25,56647
Random Forest,0.45,0.958904109589041,0.7368421052631579,0.8333333333333334,73,70,3,25,56648
Random Forest,0.5,0.958904109589041,0.7368421052631579,0.8333333333333334,73,70,3,25,56648
Random Forest,0.6,0.9857142857142858,0.7263157894736842,0.8363636363636363,70,69,1,26,56650
Random Forest,0.7,0.9850746268656716,0.6947368421052632,0.8148148148148148,67,66,1,29,56650
Random Forest,0.8,0.9846153846153847,0.6736842105263158,0.8,65,64,1,31,56650
Random Forest,0.9,0.9821428571428571,0.5789473684210527,0.7284768211920529,56,55,1,40,56650
